DAY_OF_WEEK,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS,CRS_ELAPSED_TIME,SCH_DEP_TIME,SCH_ARR_TIME,ORGIN_WTH_temp,ORGIN_WTH_feelslike,ORGIN_WTH_precip,ORGIN_WTH_precipprob,ORGIN_WTH_preciptype,ORGIN_WTH_snow,ORGIN_WTH_windgust,ORGIN_WTH_windspeed,ORGIN_WTH_winddir,ORGIN_WTH_cloudcover,ORGIN_WTH_visibility,ORGIN_WTH_severerisk,ORGIN_WTH_conditions,DEST_WTH_temp,DEST_WTH_feelslike,DEST_WTH_precip,DEST_WTH_precipprob,DEST_WTH_preciptype,DEST_WTH_snow,DEST_WTH_windgust,DEST_WTH_windspeed,DEST_WTH_winddir,DEST_WTH_cloudcover,DEST_WTH_visibility,DEST_WTH_severerisk,DEST_WTH_conditions
1,DL,9E,5446,JFK,SYR,1340.0,-5.0,0,0,N,209,,,,0,,2022-01-10 12:30:00,2022-01-10 13:45:00,29.3,19.5,0.0,0,,0.0,19.9,11.6,278.0,33.2,9.9,10.0,Partially cloudy,21.8,4.8,0.0,0,snow,0.04,33.1,25.9,241.0,89.2,9.9,10.0,Partially cloudy
1,UA,OO,5392,ORD,SYR,1354.0,17.0,0,0,N,607,0.0,0.0,0.0,0,,2022-01-10 10:45:00,2022-01-10 13:37:00,18.0,4.6,0.0,0,,0.0,23.0,13.0,311.0,18.0,9.9,,Clear,21.8,4.8,0.0,0,snow,0.04,33.1,25.9,241.0,89.2,9.9,10.0,Partially cloudy
1,UA,G7,4576,ORD,SYR,1700.0,-21.0,0,0,N,607,,,,0,,2022-01-10 14:30:00,2022-01-10 17:21:00,17.3,2.8,0.0,0,,0.0,21.9,15.0,329.0,0.0,9.9,10.0,Clear,19.9,5.2,0.0,0,snow,0.04,27.6,17.1,240.0,28.1,9.9,10.0,Partially cloudy
1,AA,OO,3253,ORD,SYR,1744.0,133.0,0,0,N,607,0.0,0.0,133.0,0,,2022-01-17 12:40:00,2022-01-17 15:31:00,29.4,17.6,0.0,0,,0.0,23.1,16.8,293.0,100.0,9.9,10.0,Overcast,28.0,17.4,0.006,100,snow,0.07,32.0,12.7,271.0,100.0,1.3,10.0,"Snow, Overcast"
1,AA,PT,6235,ORD,SYR,2330.0,192.0,0,0,N,607,30.0,25.0,137.0,0,,2022-01-17 17:30:00,2022-01-17 20:18:00,28.8,20.6,0.0,0,,0.0,17.7,8.5,292.0,97.5,9.9,10.0,Overcast,26.9,16.0,0.015,100,snow,0.07,24.2,12.8,281.0,100.0,2.4,10.0,"Snow, Overcast"
1,UA,OO,5412,ORD,SYR,2047.0,-5.0,0,0,N,607,,,,0,,2022-01-17 17:55:00,2022-01-17 20:52:00,28.8,20.6,0.0,0,,0.0,17.7,8.5,292.0,97.5,9.9,10.0,Overcast,26.8,13.8,0.014,100,snow,0.07,26.7,18.3,300.0,100.0,1.3,10.0,"Snow, Overcast"
1,B6,B6,116,JFK,SYR,,,1,0,N,209,,,,0,,2022-01-17 09:25:00,2022-01-17 10:43:00,41.3,36.1,0.004,100,rain,0.0,24.7,8.0,210.0,97.0,6.3,10.0,"Rain, Overcast",33.6,33.6,0.0,0,"rain,snow",0.07,13.6,0.5,3.0,100.0,9.5,10.0,Overcast
1,B6,B6,2516,JFK,SYR,106.0,112.0,0,0,N,209,0.0,0.0,0.0,0,,2022-01-17 21:59:00,2022-01-17 23:14:00,35.6,26.2,0.0,0,,0.0,26.6,15.1,287.0,97.0,9.9,10.0,Overcast,25.0,11.7,0.011,100,snow,0.07,32.2,17.4,281.0,100.0,5.0,10.0,"Snow, Overcast"
1,B6,B6,656,MCO,SYR,2021.0,81.0,0,0,N,1053,0.0,11.0,0.0,0,,2022-01-17 16:17:00,2022-01-17 19:00:00,62.0,62.0,0.0,0,,0.0,28.0,17.3,262.0,2.9,9.9,10.0,Clear,26.9,15.5,0.015,100,snow,0.07,32.9,13.9,281.0,100.0,1.8,10.0,"Snow, Overcast"
1,DL,9E,5446,JFK,SYR,1346.0,1.0,0,0,N,209,,,,0,,2022-01-17 12:30:00,2022-01-17 13:45:00,38.3,30.8,0.0,0,snow,0.0,22.6,11.8,217.0,100.0,9.9,10.0,Overcast,26.9,15.7,0.019,100,snow,0.07,23.3,13.6,263.0,100.0,1.8,10.0,"Snow, Overcast"
1,UA,OO,5392,ORD,SYR,1349.0,12.0,0,0,N,607,,,,0,,2022-01-17 10:45:00,2022-01-17 13:37:00,28.5,17.3,0.0,0,,0.0,23.4,14.4,317.0,100.0,9.9,10.0,Overcast,26.9,15.7,0.019,100,snow,0.07,23.3,13.6,263.0,100.0,1.8,10.0,"Snow, Overcast"
1,UA,G7,4576,ORD,SYR,1724.0,3.0,0,0,N,607,,,,0,,2022-01-17 14:30:00,2022-01-17 17:21:00,29.0,19.5,0.0,0,,0.0,16.8,11.1,308.0,100.0,9.9,10.0,Overcast,28.0,17.5,0.005,100,snow,0.07,26.4,12.7,271.0,100.0,0.6,10.0,"Snow, Overcast"
