MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS
1,2,1/4/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1336,-1,0,0,N,607,,,,0
1,2,1/4/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2135,43,0,0,N,607,0,0,0,0
1,2,1/11/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,1516,-15,0,0,N,607,,,,0
1,2,1/11/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,1958,-20,0,0,N,607,,,,0
1,2,1/11/22 0:00,B6,B6,116,JFK,SYR,925,1043,1137,54,0,0,N,209,0,0,9,0
1,2,1/11/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2337,23,0,0,N,209,0,0,0,0
1,2,1/11/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1846,-14,0,0,N,1053,,,,0
1,2,1/11/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1331,-14,0,0,N,209,,,,0
1,2,1/11/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1712,-9,0,0,N,607,,,,0
1,2,1/11/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1329,-8,0,0,N,607,,,,0
1,2,1/11/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2149,57,0,0,N,607,0,0,0,0
1,2,1/18/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,1513,-18,0,0,N,607,,,,0
1,2,1/18/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2011,-7,0,0,N,607,,,,0
1,2,1/18/22 0:00,B6,B6,116,JFK,SYR,925,1043,1042,-1,0,0,N,209,,,,0
1,2,1/18/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2256,-18,0,0,N,209,,,,0
1,2,1/18/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1919,19,0,0,N,1053,0,0,0,0
1,2,1/18/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1347,2,0,0,N,209,,,,0
1,2,1/18/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1705,-16,0,0,N,607,,,,0
1,2,1/18/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1330,-7,0,0,N,607,,,,0
1,2,1/18/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2039,-13,0,0,N,607,,,,0
1,2,1/25/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,1524,-7,0,0,N,607,,,,0
1,2,1/25/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2008,-10,0,0,N,607,,,,0
1,2,1/25/22 0:00,B6,B6,116,JFK,SYR,925,1043,1053,10,0,0,N,209,,,,0
1,2,1/25/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2259,-15,0,0,N,209,,,,0
1,2,1/25/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1837,-23,0,0,N,1053,,,,0
1,2,1/25/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1337,-8,0,0,N,209,,,,0
1,2,1/25/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1658,-23,0,0,N,607,,,,0
1,2,1/25/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1330,-7,0,0,N,607,,,,0
1,2,1/25/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2055,3,0,0,N,607,,,,0
1,3,1/5/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,,,1,0,N,607,,,,0
1,3,1/5/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,1959,-19,0,0,N,607,,,,0
1,3,1/5/22 0:00,B6,B6,116,JFK,SYR,925,1043,1022,-21,0,0,N,209,,,,0
1,3,1/5/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2251,-23,0,0,N,209,,,,0
1,3,1/5/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1843,-17,0,0,N,1053,,,,0
1,3,1/5/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1329,-16,0,0,N,209,,,,0
1,3,1/5/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1656,-25,0,0,N,607,,,,0
1,3,1/5/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1400,23,0,0,N,607,0,0,0,0
1,3,1/5/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,,,1,0,N,607,,,,0
1,3,1/12/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2021,3,0,0,N,607,,,,0
1,3,1/12/22 0:00,B6,B6,116,JFK,SYR,925,1043,1050,7,0,0,N,209,,,,0
1,3,1/12/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2256,-18,0,0,N,209,,,,0
1,3,1/12/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1853,-7,0,0,N,1053,,,,0
1,3,1/12/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1335,-10,0,0,N,209,,,,0
1,3,1/12/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1655,-26,0,0,N,607,,,,0
1,3,1/12/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1333,-4,0,0,N,607,,,,0
1,3,1/12/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2054,2,0,0,N,607,,,,0
1,3,1/19/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2009,-9,0,0,N,607,,,,0
1,3,1/19/22 0:00,B6,B6,116,JFK,SYR,925,1043,1046,3,0,0,N,209,,,,0
1,3,1/19/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2350,36,0,0,N,209,0,0,0,0
1,3,1/19/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1838,-22,0,0,N,1053,,,,0
1,3,1/19/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1340,-5,0,0,N,209,,,,0
1,3,1/19/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1655,-26,0,0,N,607,,,,0
1,3,1/19/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1323,-14,0,0,N,607,,,,0
1,3,1/19/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2050,-2,0,0,N,607,,,,0
1,3,1/26/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2024,6,0,0,N,607,,,,0
1,3,1/26/22 0:00,B6,B6,116,JFK,SYR,925,1043,1024,-19,0,0,N,209,,,,0
1,3,1/26/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2308,-6,0,0,N,209,,,,0
1,3,1/26/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1849,-11,0,0,N,1053,,,,0
1,3,1/26/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1334,-11,0,0,N,209,,,,0
1,3,1/26/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1700,-21,0,0,N,607,,,,0
1,3,1/26/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1331,-6,0,0,N,607,,,,0
1,3,1/26/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2036,-16,0,0,N,607,,,,0
1,4,1/6/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,1737,126,0,0,N,607,0,0,0,0
1,4,1/6/22 0:00,AA,MQ,4134,ORD,SYR,805,1056,1122,26,0,0,N,607,0,0,0,0
1,4,1/6/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2229,131,0,0,N,607,0,8,0,0
1,4,1/6/22 0:00,B6,B6,116,JFK,SYR,925,1043,1040,-3,0,0,N,209,,,,0
1,4,1/6/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,14,60,0,0,N,209,0,0,0,0
1,4,1/6/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1901,1,0,0,N,1053,,,,0
1,4,1/6/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1328,-17,0,0,N,209,,,,0
1,4,1/6/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1712,-9,0,0,N,607,,,,0
1,4,1/6/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1349,12,0,0,N,607,,,,0
1,4,1/6/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2038,-14,0,0,N,607,,,,0
1,4,1/13/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,1517,-14,0,0,N,607,,,,0
1,4,1/13/22 0:00,AA,MQ,4134,ORD,SYR,805,1056,1031,-25,0,0,N,607,,,,0
1,4,1/13/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2004,-14,0,0,N,607,,,,0
1,4,1/13/22 0:00,B6,B6,116,JFK,SYR,925,1043,1042,-1,0,0,N,209,,,,0
1,4,1/13/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2257,-17,0,0,N,209,,,,0
1,4,1/13/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1842,-18,0,0,N,1053,,,,0
1,4,1/13/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1359,14,0,0,N,209,,,,0
